구간,npy파일명,원본wav경로,출력파일명,Jazz확률,매칭방법,세그먼트길이(초),목표데시벨(dB)
0.1-0.2,Piano Sonata No 14 in C sharp minor Moonlight Op 27 No 2 I   Adagio sostenuto.npy,/home/kim22/nas03home/pianowav/classic/Piano Sonata No 14 in C sharp minor Moonlight Op 27 No 2 I   Adagio sostenuto.wav,0.1-0.2_Piano Sonata No 14 in C sharp minor Moonlight Op 27 No 2 I   Adagio sostenuto.wav,0.158712,정확한 매칭,24.00,-27.78
0.1-0.2,One for You_ One for Me.npy,/home/kim22/nas03home/pianowav/rock/One for You_ One for Me.wav,0.1-0.2_One for You_ One for Me.wav,0.138713,정확한 매칭,24.00,-27.78
0.1-0.2,Girl Live LP Version.npy,/home/kim22/nas03home/pianowav/rock/Girl Live LP Version.wav,0.1-0.2_Girl Live LP Version.wav,0.127750,정확한 매칭,24.00,-27.78
0.1-0.2,Any Day Now.npy,/home/kim22/nas03home/pianowav/rock/Any Day Now.wav,0.1-0.2_Any Day Now.wav,0.122000,정확한 매칭,24.00,-27.78
0.1-0.2,Late Summer Fields (ft Alucard).npy,/home/kim22/nas03home/pianowav/rock/Late Summer Fields (ft Alucard).wav,0.1-0.2_Late Summer Fields (ft Alucard).wav,0.127834,정확한 매칭,24.00,-27.78
0.1-0.2,Walking By Myself (2002 Digital Remaster).npy,/home/kim22/nas03home/pianowav/rock/Walking By Myself (2002 Digital Remaster).wav,0.1-0.2_Walking By Myself (2002 Digital Remaster).wav,0.159918,정확한 매칭,24.00,-27.78
0.1-0.2,Cosas Del Amor.npy,/home/kim22/nas03home/pianowav/pop/Cosas Del Amor.wav,0.1-0.2_Cosas Del Amor.wav,0.118211,정확한 매칭,24.00,-27.78
0.1-0.2,Sign Your Name.npy,/home/kim22/nas03home/pianowav/rock/Whats Your Name.wav,0.1-0.2_Whats Your Name.wav,0.109473,유사한 파일명 매칭 (유사도: 0.69),24.00,-27.78
0.1-0.2,Ragazzo Fortunato.npy,/home/kim22/nas03home/pianowav/hiphop/Ragazzo Fortunato.wav,0.1-0.2_Ragazzo Fortunato.wav,0.183454,정확한 매칭,24.00,-27.78
0.1-0.2,Quizas Mañana.npy,/home/kim22/nas03home/pianowav/latin/Quizas Mañana.wav,0.1-0.2_Quizas Mañana.wav,0.191963,정확한 매칭,24.00,-27.78
0.1-0.2,You Needed Me.npy,/home/kim22/nas03home/pianowav/rock/You Needed Me.wav,0.1-0.2_You Needed Me.wav,0.146266,정확한 매칭,24.00,-27.78
0.2-0.3,Someday My Prince Will Come.npy,/home/kim22/nas03home/pianowav/jazz/Someday My Prince Will Come.wav,0.2-0.3_Someday My Prince Will Come.wav,0.200657,정확한 매칭,24.00,-27.78
0.2-0.3,The Alaskan Rag.npy,/home/kim22/nas03home/pianowav/classic/The Alaskan Rag.wav,0.2-0.3_The Alaskan Rag.wav,0.219466,정확한 매칭,24.00,-27.78
0.2-0.3,Outro.npy,/home/kim22/nas03home/pianowav/rock/Outro.wav,0.2-0.3_Outro.wav,0.263090,정확한 매칭,24.00,-27.78
0.2-0.3,Deep River Woman.npy,/home/kim22/nas03home/pianowav/rock/Deep River Woman.wav,0.2-0.3_Deep River Woman.wav,0.221545,정확한 매칭,24.00,-27.78
0.2-0.3,You Know Me.npy,/home/kim22/nas03home/pianowav/rock/You Know Me.wav,0.2-0.3_You Know Me.wav,0.212954,정확한 매칭,24.00,-27.78
0.2-0.3,Ruegame.npy,/home/kim22/nas03home/pianowav/rock/Ruegame.wav,0.2-0.3_Ruegame.wav,0.216564,정확한 매칭,24.00,-27.78
0.2-0.3,Sinkin Soon (iTunes Live Session).npy,/home/kim22/nas03home/pianowav/rock/Sinkin Soon (iTunes Live Session).wav,0.2-0.3_Sinkin Soon (iTunes Live Session).wav,0.217656,정확한 매칭,24.00,-27.78
0.2-0.3,The Long And Winding Road.npy,/home/kim22/nas03home/pianowav/pop/The Long And Winding Road.wav,0.2-0.3_The Long And Winding Road.wav,0.267253,정확한 매칭,24.00,-27.78
0.2-0.3,Unbreakable.npy,/home/kim22/nas03home/pianowav/rock/Unbreakable.wav,0.2-0.3_Unbreakable.wav,0.234252,정확한 매칭,24.00,-27.78
0.2-0.3,Temporary (Album Version).npy,/home/kim22/nas03home/pianowav/hiphop/Temporary (Album Version).wav,0.2-0.3_Temporary (Album Version).wav,0.205185,정확한 매칭,24.00,-27.78
0.2-0.3,There Goes My Baby.npy,/home/kim22/nas03home/pianowav/country/There Goes My Baby.wav,0.2-0.3_There Goes My Baby.wav,0.203764,정확한 매칭,24.00,-27.78
0.2-0.3,The Last Farewell.npy,/home/kim22/nas03home/pianowav/ambient/The Last Farewell.wav,0.2-0.3_The Last Farewell.wav,0.208941,정확한 매칭,24.00,-27.78
0.3-0.4,Round Midnight.npy,/home/kim22/nas03home/pianowav/jazz/Round Midnight.wav,0.3-0.4_Round Midnight.wav,0.339643,정확한 매칭,24.00,-27.78
0.3-0.4,How Do You Keep the Music Playing.npy,/home/kim22/nas03home/pianowav/jazz/How Do You Keep the Music Playing.wav,0.3-0.4_How Do You Keep the Music Playing.wav,0.372579,정확한 매칭,24.00,-27.78
0.3-0.4,Waltz in C sharp minor_ Op 64_ No 2.npy,/home/kim22/nas03home/pianowav/classic/Waltz in C sharp minor_ Op 64_ No 2.wav,0.3-0.4_Waltz in C sharp minor_ Op 64_ No 2.wav,0.374592,정확한 매칭,24.00,-27.78
0.3-0.4,Au fond du temple saint.npy,/home/kim22/nas03home/pianowav/rock/Au fond du temple saint.wav,0.3-0.4_Au fond du temple saint.wav,0.382839,정확한 매칭,24.00,-27.78
0.3-0.4,Professional Widow (LP Version).npy,/home/kim22/nas03home/pianowav/rock/Professional Widow (LP Version).wav,0.3-0.4_Professional Widow (LP Version).wav,0.386059,정확한 매칭,24.00,-27.78
0.3-0.4,Canada.npy,/home/kim22/nas03home/pianowav/rock/Canada.wav,0.3-0.4_Canada.wav,0.371297,정확한 매칭,24.00,-27.78
0.3-0.4,Doctor Wu.npy,/home/kim22/nas03home/pianowav/rock/Doctor Wu.wav,0.3-0.4_Doctor Wu.wav,0.385145,정확한 매칭,24.00,-27.78
0.3-0.4,Let It Be.npy,/home/kim22/nas03home/pianowav/rock/Let It Be.wav,0.3-0.4_Let It Be.wav,0.319805,정확한 매칭,24.00,-27.78
0.3-0.4,The Entertainer.npy,/home/kim22/nas03home/pianowav/classic/The Entertainer.wav,0.3-0.4_The Entertainer.wav,0.324684,정확한 매칭,24.00,-27.78
0.3-0.4,As Long As She Loves Me.npy,/home/kim22/nas03home/pianowav/hiphop/As Long As She Loves Me.wav,0.3-0.4_As Long As She Loves Me.wav,0.342416,정확한 매칭,24.00,-27.78
0.3-0.4,Weve Only Just Begun (Digitally Remastered).npy,/home/kim22/nas03home/pianowav/country/Weve Only Just Begun (Digitally Remastered).wav,0.3-0.4_Weve Only Just Begun (Digitally Remastered).wav,0.302274,정확한 매칭,24.00,-27.78
0.3-0.4,All By Myself.npy,/home/kim22/nas03home/pianowav/ambient/All By Myself.wav,0.3-0.4_All By Myself.wav,0.312487,정확한 매칭,24.00,-27.78
0.4-0.5,Stella By Starlight.npy,/home/kim22/nas03home/pianowav/jazz/Stella By Starlight.wav,0.4-0.5_Stella By Starlight.wav,0.472033,정확한 매칭,24.00,-27.78
0.4-0.5,Lady Love.npy,/home/kim22/nas03home/pianowav/jazz/Lady Love.wav,0.4-0.5_Lady Love.wav,0.478985,정확한 매칭,24.00,-27.78
0.4-0.5,ToscaVissi darte.npy,/home/kim22/nas03home/pianowav/classic/ToscaVissi darte.wav,0.4-0.5_ToscaVissi darte.wav,0.439014,정확한 매칭,24.00,-27.78
0.4-0.5,Far More (Album Version).npy,/home/kim22/nas03home/pianowav/rock/Far More (Album Version).wav,0.4-0.5_Far More (Album Version).wav,0.483187,정확한 매칭,24.00,-27.78
0.4-0.5,Song For The Dumped.npy,/home/kim22/nas03home/pianowav/rock/Song For The Dumped.wav,0.4-0.5_Song For The Dumped.wav,0.470205,정확한 매칭,24.00,-27.78
0.4-0.5,Dont Leave Me Now (Live).npy,/home/kim22/nas03home/pianowav/rock/Dont Leave Me Now (Live).wav,0.4-0.5_Dont Leave Me Now (Live).wav,0.437654,정확한 매칭,24.00,-27.78
0.4-0.5,I Could Not Ask For More (LP Version).npy,/home/kim22/nas03home/pianowav/rock/I Could Not Ask For More (LP Version).wav,0.4-0.5_I Could Not Ask For More (LP Version).wav,0.489907,정확한 매칭,24.00,-27.78
0.4-0.5,Every Time You Lie.npy,/home/kim22/nas03home/pianowav/pop/Every Time You Lie.wav,0.4-0.5_Every Time You Lie.wav,0.481626,정확한 매칭,24.00,-27.78
0.4-0.5,Crave.npy,/home/kim22/nas03home/pianowav/jazz/The Crave.wav,0.4-0.5_The Crave.wav,0.433969,부분 문자열 매칭: The Crave,24.00,-27.78
0.4-0.5,Allemande (by JS Bach).npy,/home/kim22/nas03home/pianowav/latin/Allemande (by JS Bach).wav,0.4-0.5_Allemande (by JS Bach).wav,0.409003,정확한 매칭,24.00,-27.78
0.4-0.5,Georgia On My Mind.npy,/home/kim22/nas03home/pianowav/jazz/Georgia On My Mind.wav,0.4-0.5_Georgia On My Mind.wav,0.458197,정확한 매칭,24.00,-27.78
0.4-0.5,All The Things You Are.npy,/home/kim22/nas03home/pianowav/jazz/All The Things You Are.wav,0.4-0.5_All The Things You Are.wav,0.479497,정확한 매칭,24.00,-27.78
0.5-0.6,Tea For Two.npy,/home/kim22/nas03home/pianowav/jazz/Tea For Two.wav,0.5-0.6_Tea For Two.wav,0.547337,정확한 매칭,24.00,-27.78
0.5-0.6,Something to Remind You  - Album Version.npy,/home/kim22/nas03home/pianowav/jazz/Something to Remind You  - Album Version.wav,0.5-0.6_Something to Remind You  - Album Version.wav,0.511107,정확한 매칭,24.00,-27.78
0.5-0.6,Have Yourself A Meery Little Christmas.npy,/home/kim22/nas03home/pianowav/jazz/Have Yourself A Meery Little Christmas.wav,0.5-0.6_Have Yourself A Meery Little Christmas.wav,0.574019,정확한 매칭,24.00,-27.78
0.5-0.6,Nocturne in B_ Op 62_ No 1.npy,/home/kim22/nas03home/pianowav/classic/Nocturne in B_ Op 62_ No 1.wav,0.5-0.6_Nocturne in B_ Op 62_ No 1.wav,0.542946,정확한 매칭,24.00,-27.78
0.5-0.6,Killing Me Softly.npy,/home/kim22/nas03home/pianowav/rock/Killing Me Softly.wav,0.5-0.6_Killing Me Softly.wav,0.582189,정확한 매칭,24.00,-27.78
0.5-0.6,A Certain Smile.npy,/home/kim22/nas03home/pianowav/classic/Smile.wav,0.5-0.6_Smile.wav,0.588449,부분 문자열 매칭: Smile,24.00,-27.78
0.5-0.6,Since U Been Gone.npy,/home/kim22/nas03home/pianowav/jazz/Since We Met.wav,0.5-0.6_Since We Met.wav,0.551002,유사한 파일명 매칭 (유사도: 0.55),24.00,-27.78
0.5-0.6,Straight Through My Heart.npy,/home/kim22/nas03home/pianowav/rock/Straight From The Heart.wav,0.5-0.6_Straight From The Heart.wav,0.539729,유사한 파일명 매칭 (유사도: 0.71),24.00,-27.78
0.5-0.6,Kismet Rag.npy,/home/kim22/nas03home/pianowav/blues/Kismet Rag.wav,0.5-0.6_Kismet Rag.wav,0.502608,정확한 매칭,24.00,-27.78
0.5-0.6,Interlude 1.npy,/home/kim22/nas03home/pianowav/hiphop/Interlude 1.wav,0.5-0.6_Interlude 1.wav,0.508788,정확한 매칭,24.00,-27.78
0.5-0.6,Ill Be Home For Christmas.npy,/home/kim22/nas03home/pianowav/country/Ill Be Home For Christmas.wav,0.5-0.6_Ill Be Home For Christmas.wav,0.560805,정확한 매칭,24.00,-27.78
0.5-0.6,Woman In Love.npy,/home/kim22/nas03home/pianowav/rock/Woman In Love.wav,0.5-0.6_Woman In Love.wav,0.522539,정확한 매칭,24.00,-27.78
0.6-0.7,Over My Head.npy,/home/kim22/nas03home/pianowav/jazz/Over My Head.wav,0.6-0.7_Over My Head.wav,0.697229,정확한 매칭,24.00,-27.78
0.6-0.7,Palm Leaf Rag - A Slow Drag.npy,/home/kim22/nas03home/pianowav/jazz/Palm Leaf Rag - A Slow Drag.wav,0.6-0.7_Palm Leaf Rag - A Slow Drag.wav,0.663496,정확한 매칭,24.00,-27.78
0.6-0.7,Chega de Saudade.npy,/home/kim22/nas03home/pianowav/jazz/Chega de Saudade.wav,0.6-0.7_Chega de Saudade.wav,0.639464,정확한 매칭,24.00,-27.78
0.6-0.7,MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--4.npy,/home/kim22/nas03home/pianowav/classic/MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--4.wav,0.6-0.7_MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--4.wav,0.617736,정확한 매칭,24.00,-27.78
0.6-0.7,Intro.npy,/home/kim22/nas03home/pianowav/jazz/Introspection.wav,0.6-0.7_Introspection.wav,0.698365,부분 문자열 매칭: Introspection,24.00,-27.78
0.6-0.7,Closest Thing To Heaven (Solasso Dub).npy,/home/kim22/nas03home/pianowav/rock/Closest Thing To Heaven (Solasso Dub).wav,0.6-0.7_Closest Thing To Heaven (Solasso Dub).wav,0.666848,정확한 매칭,24.00,-27.78
0.6-0.7,Rook (2001 Digital Remaster).npy,/home/kim22/nas03home/pianowav/rock/Rook (2001 Digital Remaster).wav,0.6-0.7_Rook (2001 Digital Remaster).wav,0.683830,정확한 매칭,24.00,-27.78
0.6-0.7,A Secret Love.npy,/home/kim22/nas03home/pianowav/rock/A Secret Love.wav,0.6-0.7_A Secret Love.wav,0.675314,정확한 매칭,24.00,-27.78
0.6-0.7,Youre My 1.npy,/home/kim22/nas03home/pianowav/pop/Youre My 1.wav,0.6-0.7_Youre My 1.wav,0.642386,정확한 매칭,24.00,-27.78
0.6-0.7,Music Box.npy,/home/kim22/nas03home/pianowav/soul/Music Box.wav,0.6-0.7_Music Box.wav,0.629800,정확한 매칭,24.00,-27.78
0.6-0.7,Joy.npy,/home/kim22/nas03home/pianowav/ambient/Joy.wav,0.6-0.7_Joy.wav,0.632783,정확한 매칭,24.00,-27.78
0.6-0.7,I Never Loved A Man The Way I Love You Stereo Version.npy,/home/kim22/nas03home/pianowav/jazz/I Never Loved A Man The Way I Love You Stereo Version.wav,0.6-0.7_I Never Loved A Man The Way I Love You Stereo Version.wav,0.606533,정확한 매칭,24.00,-27.78
0.7-0.8,Red Red Wine.npy,/home/kim22/nas03home/pianowav/jazz/Red Red Wine.wav,0.7-0.8_Red Red Wine.wav,0.794172,정확한 매칭,24.00,-27.78
0.7-0.8,Concerto In A Minor_ Op 16 Second Movement - Adagio.npy,/home/kim22/nas03home/pianowav/jazz/Concerto In A Minor_ Op 16 Second Movement - Adagio.wav,0.7-0.8_Concerto In A Minor_ Op 16 Second Movement - Adagio.wav,0.760698,정확한 매칭,24.00,-27.78
0.7-0.8,First Call.npy,/home/kim22/nas03home/pianowav/jazz/First Call.wav,0.7-0.8_First Call.wav,0.729427,정확한 매칭,24.00,-27.78
0.7-0.8,MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.npy,/home/kim22/nas03home/pianowav/classic/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.wav,0.7-0.8_MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.wav,0.737241,정확한 매칭,24.00,-27.78
0.7-0.8,Sicilienne.npy,/home/kim22/nas03home/pianowav/classic/Sicilienne.wav,0.7-0.8_Sicilienne.wav,0.790036,정확한 매칭,24.00,-27.78
0.7-0.8,Until Its Time For Me To Go.npy,/home/kim22/nas03home/pianowav/rock/Until Its Time For Me To Go.wav,0.7-0.8_Until Its Time For Me To Go.wav,0.718788,정확한 매칭,24.00,-27.78
0.7-0.8,The Frail.npy,/home/kim22/nas03home/pianowav/rock/The Frail.wav,0.7-0.8_The Frail.wav,0.797703,정확한 매칭,24.00,-27.78
0.7-0.8,Mind Games (Album Version).npy,/home/kim22/nas03home/pianowav/rock/Mind Games (Album Version).wav,0.7-0.8_Mind Games (Album Version).wav,0.719139,정확한 매칭,24.00,-27.78
0.7-0.8,The Beat.npy,/home/kim22/nas03home/pianowav/folk/She Loves You (As made famous by The Beatles).wav,0.7-0.8_She Loves You (As made famous by The Beatles).wav,0.708387,부분 문자열 매칭: She Loves You (As made famous by The Beatles),24.00,-27.78
0.7-0.8,Never Gonna Let You Down.npy,/home/kim22/nas03home/pianowav/soul/Never Gonna Let You Down.wav,0.7-0.8_Never Gonna Let You Down.wav,0.733843,정확한 매칭,24.00,-27.78
0.7-0.8,Still Crazy After All These Years.npy,/home/kim22/nas03home/pianowav/country/Still Crazy After All These Years.wav,0.7-0.8_Still Crazy After All These Years.wav,0.727069,정확한 매칭,24.00,-27.78
0.7-0.8,Blue Eyes.npy,/home/kim22/nas03home/pianowav/ambient/Blue Eyes.wav,0.7-0.8_Blue Eyes.wav,0.722424,정확한 매칭,24.00,-27.78
0.8-0.9,Scarlatti -  Sonata in D minor K9, L413 Allegro - Live in Paris  2018.npy,/home/kim22/nas03home/pianowav/jazz/Scarlatti -  Sonata in D minor K9, L413 Allegro - Live in Paris  2018.wav,0.8-0.9_Scarlatti -  Sonata in D minor K9, L413 Allegro - Live in Paris  2018.wav,0.846104,정확한 매칭,24.00,-27.78
0.8-0.9,2-minute Study in E.npy,/home/kim22/nas03home/pianowav/jazz/2-minute Study in E.wav,0.8-0.9_2-minute Study in E.wav,0.897627,정확한 매칭,24.00,-27.78
0.8-0.9,My Baby Just Cares For Me.npy,/home/kim22/nas03home/pianowav/jazz/My Baby Just Cares For Me.wav,0.8-0.9_My Baby Just Cares For Me.wav,0.856492,정확한 매칭,24.00,-27.78
0.8-0.9,Rays Blues.npy,/home/kim22/nas03home/pianowav/jazz/Rays Blues.wav,0.8-0.9_Rays Blues.wav,0.860097,정확한 매칭,24.00,-27.78
0.8-0.9,Piece By Piece.npy,/home/kim22/nas03home/pianowav/jazz/Piece By Piece.wav,0.8-0.9_Piece By Piece.wav,0.890132,정확한 매칭,24.00,-27.78
0.8-0.9,My Song (Album Version).npy,/home/kim22/nas03home/pianowav/jazz/My Song (Album Version).wav,0.8-0.9_My Song (Album Version).wav,0.801774,정확한 매칭,24.00,-27.78
0.8-0.9,Sonatine Mouvement de menuet.npy,/home/kim22/nas03home/pianowav/classic/Sonatine Mouvement de menuet.wav,0.8-0.9_Sonatine Mouvement de menuet.wav,0.841902,정확한 매칭,24.00,-27.78
0.8-0.9,Shadows Of Time.npy,/home/kim22/nas03home/pianowav/rock/Shadows Of Time.wav,0.8-0.9_Shadows Of Time.wav,0.875508,정확한 매칭,24.00,-27.78
0.8-0.9,Babys House (Digitally Remastered 90).npy,/home/kim22/nas03home/pianowav/rock/Babys House (Digitally Remastered 90).wav,0.8-0.9_Babys House (Digitally Remastered 90).wav,0.818343,정확한 매칭,24.00,-27.78
0.8-0.9,All At Once.npy,/home/kim22/nas03home/pianowav/soul/All At Once.wav,0.8-0.9_All At Once.wav,0.896733,정확한 매칭,24.00,-27.78
0.8-0.9,Attention.npy,/home/kim22/nas03home/pianowav/electronica/Attention.wav,0.8-0.9_Attention.wav,0.829653,정확한 매칭,24.00,-27.78
0.8-0.9,For Once In My Life (Album Version).npy,/home/kim22/nas03home/pianowav/ambient/For Once In My Life (Album Version).wav,0.8-0.9_For Once In My Life (Album Version).wav,0.841679,정확한 매칭,24.00,-27.78
0.9-1.0,All The Things You Are (Reprise) - Live.npy,/home/kim22/nas03home/pianowav/jazz/All The Things You Are (Reprise) - Live.wav,0.9-1.0_All The Things You Are (Reprise) - Live.wav,0.999116,정확한 매칭,24.00,-27.78
0.9-1.0,Nice Work If You Can Get It - Live At Maybeck Recital Hall, Berkeley, CA  February 16, 1992.npy,/home/kim22/nas03home/pianowav/jazz/Nice Work If You Can Get It - Live At Maybeck Recital Hall, Berkeley, CA  February 16, 1992.wav,0.9-1.0_Nice Work If You Can Get It - Live At Maybeck Recital Hall, Berkeley, CA  February 16, 1992.wav,0.999509,정확한 매칭,24.00,-27.78
0.9-1.0,Until It's Time For You To Go - Live.npy,/home/kim22/nas03home/pianowav/jazz/Until It's Time For You To Go - Live.wav,0.9-1.0_Until It's Time For You To Go - Live.wav,0.999373,정확한 매칭,24.00,-27.78
0.9-1.0,Sophisticated Lady - Live At Maybeck Recital Hall, Berkeley, CA  July 10, 1994.npy,/home/kim22/nas03home/pianowav/jazz/Sophisticated Lady - Live At Maybeck Recital Hall, Berkeley, CA  July 10, 1994.wav,0.9-1.0_Sophisticated Lady - Live At Maybeck Recital Hall, Berkeley, CA  July 10, 1994.wav,0.999714,정확한 매칭,24.00,-27.78
0.9-1.0,The Way We Were.npy,/home/kim22/nas03home/pianowav/jazz/The Way We Were.wav,0.9-1.0_The Way We Were.wav,0.999676,정확한 매칭,24.00,-27.78
0.9-1.0,Come Sunday.npy,/home/kim22/nas03home/pianowav/jazz/Come Sunday.wav,0.9-1.0_Come Sunday.wav,0.997472,정확한 매칭,24.00,-27.78
0.9-1.0,I Don't Stand A Ghost Of A Chance With You.npy,/home/kim22/nas03home/pianowav/jazz/I Don't Stand A Ghost Of A Chance With You.wav,0.9-1.0_I Don't Stand A Ghost Of A Chance With You.wav,0.999770,정확한 매칭,24.00,-27.78
0.9-1.0,Willie The Weeper.npy,/home/kim22/nas03home/pianowav/jazz/Willie The Weeper.wav,0.9-1.0_Willie The Weeper.wav,0.999746,정확한 매칭,24.00,-27.78
0.9-1.0,What Am I Here For.npy,/home/kim22/nas03home/pianowav/jazz/What Am I Here For.wav,0.9-1.0_What Am I Here For.wav,0.999564,정확한 매칭,24.00,-27.78
0.9-1.0,Cottage For Sale.npy,/home/kim22/nas03home/pianowav/jazz/Cottage For Sale.wav,0.9-1.0_Cottage For Sale.wav,0.999768,정확한 매칭,24.00,-27.78
0.9-1.0,A Wonderful Guy.npy,/home/kim22/nas03home/pianowav/jazz/A Wonderful Guy.wav,0.9-1.0_A Wonderful Guy.wav,0.999313,정확한 매칭,24.00,-27.78
0.9-1.0,White Christmas.npy,/home/kim22/nas03home/pianowav/rock/White Christmas Makes Me Blue (Album Version).wav,0.9-1.0_White Christmas Makes Me Blue (Album Version).wav,0.912933,부분 문자열 매칭: White Christmas Makes Me Blue (Album Version),24.00,-27.78
